ID;USD;EUR;JPY;GBP;CAD;CHF;INR;CNY;TRY;SAR;IDR;AED;THB;VND;EGP;KRW;RUB;ZAR;AUD
33718;336,6;258,1;45.297,50;189,9;398,9;515,7;9.646,40;1.842,20;2,2;1.258,60;680.138,90;1.232,50;8.636,00;3.793.101,70;1.119,80;261.733,20;0;970,2;446,8
33721;335,7;257,2;44.582,70;188,7;400,2;512,7;9.577,40;1.826,60;2,2;1.250,70;674.767,00;1.224,80;8.530,50;3.789.070,40;1.097,90;259.220,10;0;964,6;443,2
33722;336,8;258,6;44.868,40;189,7;402,5;510,8;9.628,20;1.840,20;2,2;1.259,30;682.738,50;1.236,00;8.592,30;3.817.379,30;1.117,80;262.475,30;0;968,3;444,1
33723;335,7;258;44.794,80;189,6;401;510,5;9.618,80;1.839,10;2,2;1.261,80;682.454,60;1.245,20;8.608,20;3.815.151,10;1.115,40;262.350,60;0;966,6;443
33724;336,4;258;44.875,10;189,6;402;510,4;9.615,70;1.838,50;2,2;1.261,40;680.938,40;1.244,80;8.595,90;3.813.917,00;1.116,80;261.431,70;0;963,5;443,2
33725;337,5;257,1;44.803,40;189,1;401,6;506,7;9.765,00;1.852,80;2,2;1.264,00;681.750,10;1.237,80;8.629,50;3.785.345,20;1.111,90;261.984,10;0;963,5;444,4
33728;337,5;257,1;44.803,40;189,1;401,6;506,7;9.765,00;1.852,80;2,2;1.264,00;683.209,20;1.237,80;8.629,50;3.785.345,20;1.111,90;261.984,10;0;963,5;444,4
33729;336,8;256,2;44.821,30;188,9;401,3;508,2;9.629,30;1.849,60;2,2;1.259,30;681.304,90;1.233,20;8.614,80;3.778.876,90;1.114,70;261.895,40;0;964,5;444,6
33730;336,7;254,7;44.561,90;187,6;402,5;505,2;9.625,40;1.837,00;2,2;1.254,60;679.636,30;1.228,60;8.531,50;3.753.049,10;1.117,00;261.437,60;0;961,2;443
33731;336,1;255;44.613,40;187,1;402,6;507,9;9.605,40;1.831,40;2,2;1.256,40;681.800,20;1.233,10;8.586,00;3.741.632,40;1.114,80;262.746,70;0;962,1;445
